"wavelength_A","unknown1","unknown2","unknown3","unknown4","unknown5"
4326,0.6404,0.5199,0.7288,0.5592,0.6183
4327,0.6419,0.5224,0.7622,0.5422,0.687
4328,0.6388,0.5763,0.8107,0.5245,0.7328
4329,0.6365,0.633,0.8479,0.5028,0.7424
4330,0.6198,0.6769,0.8533,0.4836,0.7672
4331,0.6091,0.7014,0.8745,0.4632,0.7748
4332,0.5979,0.7137,0.8715,0.4456,0.7748
4333,0.5932,0.721,0.8715,0.4236,0.7824
4334,0.5856,0.7308,0.8669,0.395,0.7691
4335,0.5684,0.7014,0.8441,0.365,0.7366
4336,0.5512,0.6837,0.8359,0.3358,0.6866
4337,0.519,0.6327,0.7849,0.3079,0.6317
4338,0.5057,0.618,0.7485,0.3047,0.626
4339,0.4791,0.6082,0.6802,0.2781,0.6731
4340,0.4867,0.6376,0.6346,0.284,0.6908
4341,0.4791,0.6426,0.6316,0.2722,0.7275
4342,0.5057,0.6524,0.6756,0.2885,0.7481
4343,0.5304,0.6758,0.7346,0.3221,0.7633
4344,0.5651,0.6475,0.7773,0.3624,0.7605
4345,0.5817,0.6671,0.8168,0.3861,0.7729
4346,0.5822,0.6867,0.8457,0.4001,0.7786
4347,0.5922,0.7063,0.8608,0.4201,0.7748
4348,0.6015,0.7357,0.8745,0.4382,0.771
4349,0.6097,0.7259,0.8745,0.4564,0.7366
4350,0.6167,0.6744,0.8679,0.4707,0.7005
4351,0.6226,0.6229,0.8381,0.4896,0.6641
4352,0.6238,0.6278,0.8259,0.5089,0.6603
4353,0.6245,0.6266,0.8145,0.534,0.6832
4354,0.6219,0.656,0.8362,0.5518,0.7123
4355,0.6264,0.6475,0.8552,0.5722,0.7533
4356,0.6271,0.6646,0.8679,0.5934,0.7748
4357,0.6278,0.6964,0.8748,0.6164,0.7761
4358,0.6295,0.699,0.8855,0.617,0.7767
4359,0.6317,0.7161,0.8943,0.6234,0.7853
4360,0.6341,0.7088,0.898,0.622,0.813
4361,0.6366,0.721,0.9079,0.6287,0.8282
4362,0.6435,0.7278,0.917,0.6361,0.8435
4363,0.6454,0.7419,0.9282,0.6524,0.8473
4364,0.6365,0.7646,0.9402,0.6754,0.8311
4365,0.6274,0.7701,0.9444,0.6834,0.8187
4366,0.6255,0.7701,0.9383,0.6864,0.8015
4367,0.6264,0.7419,0.9155,0.6816,0.7889
4368,0.6293,0.7259,0.9079,0.6801,0.7791
4369,0.6307,0.7174,0.9049,0.6705,0.7717
4370,0.6321,0.7075,0.9003,0.6746,0.7576
4371,0.6345,0.7077,0.8949,0.693,0.7428
4372,0.6345,0.6965,0.8851,0.6934,0.7166
4373,0.6336,0.6812,0.8722,0.7019,0.7042
4374,0.6286,0.6499,0.8502,0.7045,0.687
4375,0.6243,0.6303,0.8441,0.7041,0.6794
4376,0.6224,0.6156,0.8434,0.7041,0.6832
4377,0.6184,0.6131,0.8624,0.7041,0.6641
4378,0.6147,0.6155,0.8799,0.7012,0.6812
4379,0.6099,0.6107,0.8927,0.699,0.6336
4380,0.608,0.5837,0.8745,0.696,0.6001
4381,0.6077,0.5199,0.8183,0.7041,0.538
4382,0.6081,0.4758,0.7773,0.6923,0.4453
4383,0.6046,0.4414,0.7212,0.6923,0.4733
4384,0.6008,0.4513,0.7045,0.6893,0.5038
4385,0.5977,0.4745,0.7244,0.7074,0.5639
4386,0.5984,0.5346,0.7743,0.713,0.6145
4387,0.5972,0.5837,0.7865,0.7204,0.6603
4388,0.5947,0.6131,0.8168,0.7234,0.6737
4389,0.5943,0.6278,0.8381,0.7219,0.6889
4390,0.5941,0.6462,0.8578,0.7141,0.6982
4391,0.6017,0.6732,0.8646,0.7104,0.7078
4392,0.6114,0.6996,0.8701,0.7069,0.7175
4393,0.6145,0.7207,0.8726,0.7086,0.7152
4394,0.6155,0.7296,0.8825,0.713,0.7443
4395,0.6131,0.7431,0.8836,0.7241,0.7863
4396,0.6107,0.7652,0.9079,0.7278,0.8015
4397,0.6088,0.7725,0.9322,0.7241,0.8092
4398,0.6055,0.7603,0.9368,0.7119,0.792
4399,0.605,0.7631,0.897,0.7049,0.7362
4400,0.6088,0.7088,0.8753,0.7056,0.6937
